//Quantitative values
65	//Makespan
49	//Mission completion time hauler 1
66	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[12 ,7],[4,5]
1,[11 ,7],[4,6]
2,[10 ,7],[4,7]
3,[9 ,7],[5,7]
4,[8 ,7],[6,7]
5,[7 ,7],[7,7]
6,[6 ,7],[8,7]
7,[5 ,7],[9,7]
8,[5 ,6],[10,7]
9,[5 ,5],[11,7]
10,[5 ,4],[10,7]
11,[4 ,4],[9,7]
12,[3 ,4],[8,7]
13,[3 ,5],[7,7]
14,[3 ,6],[6,7]
15,[3 ,7],[5,7]
16,[3 ,8],[4,7]
17,[3 ,7],[3,7]
18,[3 ,6],[3,8]
19,[3 ,5],[2,8]
20,[3 ,4],[1,8]
21,[4 ,4],[1,7]
22,[5 ,4],[2,7]
23,[5 ,5],[3,7]
24,[5 ,6],[4,7]
25,[5 ,7],[5,7]
26,[6 ,7],[6,7]
27,[7 ,7],[7,7]
28,[8 ,7],[8,7]
29,[9 ,7],[9,7]
30,[10 ,7],[10,7]
31,[10 ,8],[10,8]
32,[11 ,8],[11,8]
33,[11 ,7],[10,8]
34,[11 ,8],[10,7]
35,[10 ,8],[9,7]
36,[10 ,7],[8,7]
37,[9 ,7],[7,7]
38,[8 ,7],[6,7]
39,[7 ,7],[5,7]
40,[6 ,7],[4,7]
41,[5 ,7],[3,7]
42,[4 ,7],[2,7]
43,[3 ,7],[1,7]
44,[2 ,7],[2,7]
45,[1 ,7],[3,7]
46,[1 ,8],[4,7]
47,[2 ,8],[5,7]
48,[3 ,8],[6,7]
49,[3 ,8],[7,7]
50,[3 ,8],[8,7]
51,[3 ,8],[9,7]
52,[3 ,8],[10,7]
53,[3 ,8],[10,8]
54,[3 ,8],[11,8]
55,[3 ,8],[11,7]
56,[3 ,8],[10,7]
57,[3 ,8],[9,7]
58,[3 ,8],[8,7]
59,[3 ,8],[7,7]
60,[3 ,8],[6,7]
61,[3 ,8],[5,7]
62,[3 ,8],[4,7]
63,[3 ,8],[3,7]
64,[3 ,8],[3,8]
65,[3 ,8],[3,8]
